nomeSom;arquivo;categoria;duracao
Você é careca?;voce-e-careca.mp3;Careca;12.41
Cala a boca careca;cala-a-boca-careca.mp3;Careca;3.7
Você é careca? (Avengers);voce-e-careca-avengers.mp3;Careca;38.08
ORIGINAL;rafael_lokasso.opus;RAFAEL LOKAÇO;47
POR FAVORZINHO;rafael_lokasso_por_favorzinho.opus;RAFAEL LOKAÇO;2
MELHOR CONFRATERNIZACAO;rafael_lokasso_melhor_confraternizacao.opus;RAFAEL LOKAÇO;2
DEIXA ELE FICAR;rafael_lokasso_deixa_ele_ficar.opus;RAFAEL LOKAÇO;2
MELHOR EQUIPE;rafael_lokasso_melhor_equipe.opus;RAFAEL LOKAÇO;1
O NERDAO DA AREA;rafael_lokasso_o_nerdao_da_area.opus;RAFAEL LOKAÇO;4
SHAMISEN ;shamisen.mp3;(♥ω♥*) Nipônicos;2.56
PQ NAO TRABALHA;vai-tomar-sua-cu (1).mp3;(♥ω♥*) Nipônicos;4.04
TOKYO DRIFT;tokyo-drift.mp3;(♥ω♥*) Nipônicos;11.64
YOOOOOOOO;81211466_808590029615878_4790478785875513061_n-online-audio-converter.mp3;(♥ω♥*) Nipônicos;9.5
OMAE WA;omae-wa.mp3;(♥ω♥*) Nipônicos;5.09
MA LA VI LHO SO ;qq.mp3;(♥ω♥*) Nipônicos;11.63
Vuvuzela;vuvuzela.mp3;HEXA 2022;16.71
Gol;gol-da-alemanha_1.mp3;HEXA 2022;12.41
TAFAREL;sai-que-e-sua-tafarel.mp3;HEXA 2022;19.97
NIGUEM SABE;ninguem-sabe-o-que-faz.mp3;HEXA 2022;17.08
FALA MUITO!;fala-muito-2.mp3;HEXA 2022;9.05
VINHETA;tantantantan.mp3;HEXA 2022;4.8
ACABA PELO AMOR DE DEUS;acaba-pelo-amor.mp3;HEXA 2022;17.29
EU NAO AGUENTO MAIS SPORTV;nao_aguento_mais.mp3;HEXA 2022;8.08
SEVEN BOYS ;craque_neto_seven_boys.mp3;CR4QU3 N3T0;79.95
EU MANJO DEMAIS;craque_neto_eu_manjo_demais.mp3;CR4QU3 N3T0;13.41
CONVERSA MOLE;craque_neto_conversa_mole.mp3;CR4QU3 N3T0;4.43
CEIS NUM JOGA NADA;craque_neto_ceis_num_joga_nada.mp3;CR4QU3 N3T0;6.11
EU NÃO JOGO MAIS;craque_neto_eu_nao_jogo_mais.mp3;CR4QU3 N3T0;3.7
CEIS TÃO DE SACANAGEM;craque_neto_ceis_tao_de_sacanagem.mp3;CR4QU3 N3T0;3.64
PÃO;craque_neto_pao.mp3;CR4QU3 N3T0;1.12
NÃO VAI DAR;craque_neto_nao_vai_dar.mp3;CR4QU3 N3T0;2.83
RAFAEL ;rafael_1.mp3;Bahiônicos;10.78
CADE O BAHIANO ;cadeobahiano.mp3;Bahiônicos;10.31
DRAGAO BAIANO ;bahianoq.mp3;Bahiônicos;2.61
BAIANO NAO ;giva-bahia-online-audio-converter.mp3;Bahiônicos;5.41
!!! BAHIA !!! ;bahia-radio-globo.mp3;Bahiônicos;1.8
!!! FDP !!! ;whatsapp-audio-2020-01-01-at-01_ehgBR2P.mp3;Bahiônicos;2.59
CEGO DOS OLHOS ;cegodosolhos.mp3;SBT;32.25
CALE-SE ;kiko_cale_se.mp3;SBT;12.83
PARABENS PAPAI ;parabens-papai.mp3;SBT;11.98
RAPAZZZ ;rapaz.mp3;SBT;0.52
RAPAZZZ (VÁRIOS) ;xaropinhoversoes.mp3;SBT;16.56
UEPA ;uepa.mp3;SBT;1.38
IIIIIIRRA!!! ;irra.mp3;SBT;2.56
!!! PARE !!! ;pare.mp3;SBT;1.01
RATINHO! ;ratinho_1.mp3;SBT;1.78
RISADA CHAVES ;risada_chaves.mp3;SBT;27.24
O CHAPOLIN COLORADO ;chapolin.mp3;SBT;11.77
SILVIO SANTOS ;silvio.mp3;SBT;7.61
O SABOR BRASILEIRO ;Comercial Dollyinho.mp3;SBT;62.75
DOLLYNHO ESG ;dolly_ver_o_2012_converted.mp3;SBT;60.7
TACA LA PETACA;TacaLaPetaca.mp3;SBT;16.19
FELICIDADE ;felicidade.mp3;MISC;2.76
CALI A BOQUI ;caliaboqui.mp3;MISC;1.75
RISADA RODNEI;risada_rodnei.mp3;MISC;2.38
BAMBAM ;hora-do-show-porra.mp3;MISC;4.96
HEE HEE ;heehee.wav;MISC;2
BOM DIA MOURAO ;bom-dia-do-mourao.mp3;MISC;3.13
DISCO VOADOR ;jachegouodiscovoador.mp3;MISC;3.58
RISADA CASALBE ;risadacasalbe.mp3;MISC;4.21
ZACARIAS ;risada-de-zacarias.mp3;MISC;6.34
GUITARRA HUMANA ;guitarra-humana.mp3;MISC;8.56
POPOPO ;galinhas.mp3;MISC;2.93
TROLOLO ;trololo.mp3;MISC;1.79
NÃO INTERESSA ;nao-interessa.mp3;MISC;2.06
BURRO ;como-voce-e-burro.mp3;MISC;17.22
